時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
11~12,5.12,53.82,6.52,30.83,0.06,0.04,14.46,2.04,0.63,92.43,2.85,23.59,65.99,0.8,1.91,0.0,19.16,13.66,23.04,2.38,4.09,5.4,0.0,1.24,156.41,3.59,62.5,67.5,2024-02-04 11:00:00
12~13,6.75,54.93,7.47,32.28,0.07,0.05,13.74,1.95,0.67,94.95,2.68,25.1,67.17,1.0,1.98,0.0,15.16,14.53,35.65,2.4,4.09,5.29,0.0,1.25,156.29,2.82,62.25,68.0,2024-02-04 12:00:00
13~14,5.63,56.41,7.78,32.55,0.07,0.05,14.02,1.94,0.67,93.21,2.94,24.37,65.9,0.73,2.08,0.0,15.99,18.75,52.01,2.44,4.04,5.93,0.0,1.22,159.37,4.06,62.26,70.06,2024-02-04 13:00:00
14~15,4.93,56.87,8.27,32.81,0.07,0.05,15.3,3.27,0.69,94.21,3.09,23.75,67.37,0.88,1.89,0.0,16.19,15.14,19.55,2.31,4.09,5.76,0.0,1.41,160.16,3.12,62.35,71.63,2024-02-04 14:00:00
15~16,5.94,59.82,8.67,32.54,0.07,0.06,16.74,3.51,0.7,92.88,2.91,23.29,66.68,1.19,1.97,0.0,13.69,13.75,19.16,2.38,4.1,5.9,0.0,1.30,159.76,3.5,62.37,71.49,2024-02-04 15:00:00
16~17,5.19,60.05,9.17,32.25,0.07,0.06,15.03,3.69,0.81,94.94,2.5,24.23,68.21,1.54,1.99,0.17,14.42,14.19,24.68,2.41,3.84,4.22,0.18,1.79,159.70,3.4,61.3,72.01,2024-02-04 16:00:00
17~18,6.31,60.39,8.85,30.84,0.26,0.1,14.82,3.83,1.69,93.08,3.34,23.23,66.51,1.22,1.84,0.17,16.81,15.38,47.03,2.46,3.72,3.59,4.41,1.34,155.36,2.82,62.36,67.12,2024-02-04 17:00:00
18~19,9.75,59.53,7.55,29.27,0.33,0.13,14.38,3.87,1.73,95.07,3.5,24.87,66.7,1.5,1.95,0.16,18.06,21.01,22.06,2.47,3.47,3.41,4.44,0.91,155.98,3.91,61.8,68.19,2024-02-04 18:00:00
19~20,7.31,56.9,6.01,28.86,0.33,0.12,14.5,3.63,1.74,89.2,3.63,23.12,62.45,1.39,1.62,0.17,21.32,17.56,23.68,2.44,3.21,2.94,4.43,0.86,158.55,3.03,64.97,68.44,2024-02-04 19:00:00
20~21,7.25,53.19,5.74,28.39,0.33,0.13,13.9,3.82,1.7,86.32,3.81,22.29,60.22,1.32,1.88,0.16,19.52,18.47,32.28,2.47,2.97,3.16,4.43,0.92,160.57,3.4,70.87,64.87,2024-02-04 20:00:00
21~22,7.82,51.84,5.78,26.94,0.34,0.13,12.51,5.61,1.69,82.56,3.47,20.72,58.37,1.62,1.7,0.16,19.95,23.13,60.28,2.44,3.11,2.53,4.42,0.71,156.21,3.54,70.65,61.31,2024-02-04 21:00:00
22~23,11.56,50.25,5.54,26.63,0.32,0.13,9.14,3.61,1.71,80.86,2.99,21.06,56.81,1.12,1.67,0.17,23.13,26.11,65.91,2.37,2.96,2.49,4.39,1.17,149.13,3.5,64.62,60.13,2024-02-04 22:00:00
23~24,8.94,50.91,5.44,26.4,0.34,0.13,8.3,3.79,1.69,79.66,2.64,20.0,57.02,0.96,1.61,0.16,25.08,25.42,108.98,2.41,3.03,2.47,4.41,1.47,144.06,2.96,60.16,60.0,2024-02-04 23:00:00
0~1,9.18,49.53,5.53,26.01,0.33,0.13,8.16,3.31,1.67,78.53,2.53,20.19,55.81,0.9,1.67,0.17,25.94,22.81,65.84,2.47,2.97,2.38,4.39,0.94,142.02,3.07,58.2,60.0,2024-02-05 00:00:00
1~2,12.38,49.59,5.64,26.23,0.33,0.14,8.14,3.36,1.69,77.06,2.46,19.38,55.22,1.01,1.57,0.17,21.23,18.53,30.88,2.43,3.03,2.25,4.4,0.76,141.06,3.09,57.83,59.19,2024-02-05 01:00:00
2~3,8.19,48.81,5.61,26.4,0.33,0.14,8.75,3.25,1.66,79.66,2.44,21.38,55.84,0.95,1.74,0.17,19.85,16.14,21.53,2.41,3.03,2.28,4.4,1.07,142.21,2.97,58.84,59.56,2024-02-05 02:00:00
3~4,6.75,50.07,5.52,26.22,0.33,0.14,8.67,3.27,1.69,77.65,2.5,19.99,55.16,0.97,1.74,0.16,17.36,14.58,20.56,2.41,3.1,2.35,4.4,0.94,142.10,3.16,58.57,59.25,2024-02-05 03:00:00
4~5,6.25,49.68,5.65,25.47,0.33,0.1,9.82,3.31,1.68,78.43,2.47,20.64,55.32,0.98,1.67,0.17,15.6,14.02,51.01,2.43,3.16,2.37,4.4,0.67,141.08,2.87,58.41,58.75,2024-02-05 04:00:00
5~6,6.12,50.88,5.83,25.8,0.33,0.02,10.57,3.3,1.67,76.91,2.56,19.79,54.56,1.01,1.68,0.17,15.71,14.04,34.46,2.5,3.15,2.37,4.4,1.19,141.45,3.06,58.47,58.56,2024-02-05 05:00:00
6~7,5.38,49.31,5.55,25.96,0.28,0.05,9.18,2.57,1.23,78.56,2.44,19.27,56.85,1.3,1.65,0.16,13.89,13.05,16.86,2.44,4.22,2.57,2.36,2.29,143.84,3.19,58.7,59.75,2024-02-05 06:00:00
7~8,4.62,49.41,6.24,26.98,0.07,0.07,12.58,2.23,0.66,79.33,2.31,20.25,56.77,0.99,1.67,0.17,13.43,12.01,22.78,2.53,4.15,2.81,0.09,2.60,143.90,4.22,57.67,59.51,2024-02-05 07:00:00
8~9,5.0,51.0,7.63,33.24,0.06,0.06,20.46,2.54,0.67,85.78,2.72,22.22,60.84,0.84,1.93,0.03,13.81,12.99,49.38,2.53,4.28,3.71,0.0,2.13,148.06,5.22,59.64,61.05,2024-02-05 08:00:00
9~10,4.88,59.43,7.97,34.84,0.07,0.05,24.75,2.72,0.69,94.71,3.66,23.69,67.36,0.87,1.64,0.05,12.37,15.52,19.2,2.54,4.21,4.2,0.0,2.01,152.86,5.66,63.05,61.26,2024-02-05 09:00:00
10~11,5.0,64.81,8.01,41.96,0.07,0.06,24.38,2.59,0.67,97.36,3.22,24.19,69.95,0.93,1.77,0.0,13.81,12.13,19.28,2.75,4.6,5.27,0.0,2.08,158.15,6.4,64.87,63.8,2024-02-05 10:00:00
11~12,5.18,67.32,8.29,44.53,0.07,0.09,26.31,2.97,0.66,95.67,3.99,24.29,67.39,0.97,1.56,0.0,12.99,13.0,32.32,2.75,5.08,4.94,0.0,2.34,162.02,7.25,65.87,65.57,2024-02-05 11:00:00
12~13,4.88,69.31,8.3,44.99,0.08,0.03,26.11,2.67,0.68,97.86,3.69,24.75,69.42,0.93,1.99,0.0,12.44,14.75,47.5,2.84,4.09,4.66,0.0,1.78,161.11,6.82,64.65,66.87,2024-02-05 12:00:00
13~14,4.87,68.47,8.92,44.42,0.06,0.07,26.6,2.9,0.65,106.01,3.97,24.02,78.02,0.84,2.03,0.0,14.11,16.7,22.93,2.81,3.72,4.94,0.0,1.59,161.69,7.96,64.04,66.82,2024-02-05 13:00:00
14~15,5.44,70.47,9.28,44.99,0.07,0.02,26.12,2.88,0.67,105.31,4.28,25.47,75.56,0.87,2.34,0.0,14.81,22.13,22.72,2.69,4.33,4.81,0.0,4.13,158.73,7.07,66.07,62.44,2024-02-05 14:00:00
15~16,5.75,69.35,8.74,42.58,0.07,0.18,27.74,3.14,0.75,103.98,3.44,26.65,73.89,1.19,2.98,0.0,16.0,15.75,42.14,2.69,4.59,4.84,0.0,5.44,164.86,6.69,66.87,68.43,2024-02-05 15:00:00
16~17,4.94,66.52,8.63,41.34,0.07,0.3,27.28,3.66,0.78,101.87,3.75,26.31,71.81,0.95,2.52,0.16,16.99,12.95,53.99,2.81,4.09,4.28,0.34,3.08,166.28,6.81,66.92,69.75,2024-02-05 16:00:00
17~18,7.12,64.69,9.75,38.05,0.27,0.14,26.2,3.7,1.66,100.13,3.19,25.55,71.39,1.09,2.76,0.17,16.37,13.25,23.03,2.69,3.84,3.84,4.49,2.86,159.29,4.03,65.88,67.63,2024-02-05 17:00:00
18~19,7.25,62.69,7.89,33.29,0.33,0.13,25.25,4.03,1.69,91.97,2.93,23.07,65.97,1.12,2.33,0.15,18.13,16.75,22.05,2.59,3.72,3.51,4.46,1.04,154.02,4.71,63.4,65.37,2024-02-05 18:00:00
19~20,9.75,59.31,7.04,30.05,0.33,0.13,22.41,4.22,1.7,88.68,3.35,21.86,63.47,1.2,2.69,0.16,20.76,20.8,48.01,2.44,3.53,3.44,4.46,0.88,148.09,3.22,62.05,61.88,2024-02-05 19:00:00
20~21,10.63,54.53,7.06,28.49,0.33,0.12,16.79,3.9,1.7,86.17,4.5,21.26,60.41,1.22,1.87,0.17,19.33,22.85,44.28,2.44,3.21,3.37,4.43,1.01,146.68,3.16,61.99,61.18,2024-02-05 20:00:00
21~22,10.12,53.07,7.32,28.3,0.34,0.13,15.4,3.94,1.66,85.92,4.62,21.36,59.94,1.12,1.64,0.16,20.38,21.25,28.83,2.37,3.22,3.19,4.43,1.28,142.88,3.06,60.92,58.63,2024-02-05 21:00:00
22~23,8.07,51.75,7.19,27.4,0.32,0.13,9.68,3.66,1.7,81.06,4.13,19.98,56.95,1.14,1.59,0.16,24.18,22.25,97.39,2.34,3.22,3.0,4.41,0.89,142.45,4.25,60.04,58.0,2024-02-05 22:00:00
23~24,7.62,49.81,6.41,26.34,0.34,0.13,8.55,3.7,1.69,78.03,3.09,19.86,55.08,1.23,1.55,0.15,24.58,23.42,109.36,2.32,3.27,2.9,4.41,0.87,139.95,3.13,59.09,57.44,2024-02-05 23:00:00
0~1,13.63,48.4,6.2,25.77,0.32,0.13,8.46,3.89,1.66,78.12,2.91,19.73,55.48,1.1,1.6,0.16,20.71,23.3,51.08,2.34,3.41,2.72,4.41,1.07,138.41,2.96,58.15,57.06,2024-02-06 00:00:00
1~2,10.31,48.16,6.08,25.85,0.34,0.14,8.46,4.57,1.69,77.43,2.97,19.71,54.75,1.1,1.5,0.17,20.27,17.55,23.54,2.38,3.4,2.75,4.43,0.82,138.80,3.22,57.87,57.56,2024-02-06 01:00:00
2~3,6.69,48.34,6.02,25.57,0.33,0.15,8.99,3.82,1.7,78.09,2.78,20.01,55.3,1.1,1.47,0.16,18.01,15.6,23.23,2.34,3.41,2.44,4.42,0.77,138.48,2.85,58.44,57.13,2024-02-06 02:00:00
3~4,6.06,48.28,5.88,25.66,0.33,0.02,9.29,4.62,1.69,76.05,2.9,18.9,54.25,1.07,1.51,0.16,15.9,15.98,48.74,2.44,3.4,2.62,4.42,1.16,139.48,3.43,57.91,57.56,2024-02-06 03:00:00
4~5,5.75,48.72,5.88,25.67,0.33,0.03,10.17,4.67,1.69,77.5,2.78,19.25,55.47,1.41,1.57,0.16,19.09,13.73,38.76,2.37,3.35,2.53,4.42,1.44,137.74,2.82,57.83,57.07,2024-02-06 04:00:00
5~6,6.06,48.0,5.86,25.5,0.33,0.02,11.33,4.73,1.66,76.78,2.88,19.46,54.44,1.05,1.44,0.16,14.26,14.35,17.1,2.41,3.42,2.57,4.42,0.98,139.17,3.37,57.77,57.18,2024-02-06 05:00:00
6~7,5.13,48.01,5.92,25.24,0.28,0.06,9.74,3.76,1.3,78.74,2.76,19.34,56.64,0.93,1.45,0.16,12.02,13.36,22.08,2.34,4.46,2.44,2.4,1.94,141.24,3.13,57.87,58.68,2024-02-06 06:00:00
7~8,4.81,48.96,6.21,26.36,0.06,0.04,12.5,3.44,0.66,78.35,3.03,19.53,55.79,1.15,1.5,0.16,11.25,15.2,47.81,2.22,4.28,2.71,0.13,2.06,142.83,3.6,57.82,60.07,2024-02-06 07:00:00
8~9,4.69,50.13,6.71,34.17,0.07,0.03,20.08,3.73,0.67,80.47,3.18,20.85,56.44,0.9,1.45,0.17,11.25,13.87,49.33,2.38,4.4,3.48,0.0,2.27,148.16,4.68,59.46,62.44,2024-02-06 08:00:00
9~10,4.75,53.82,6.65,34.59,0.06,0.12,24.06,3.79,0.66,86.97,3.84,22.44,60.69,1.12,1.6,0.0,11.24,12.63,18.61,2.34,4.33,3.66,0.0,1.79,153.75,5.84,63.52,62.31,2024-02-06 09:00:00
10~11,4.5,58.18,7.72,37.56,0.07,0.16,26.34,4.56,0.67,87.59,3.66,22.68,61.25,0.95,2.35,0.0,12.62,12.2,17.19,2.56,4.77,3.74,0.0,1.88,157.71,8.73,64.46,62.63,2024-02-06 10:00:00
11~12,4.87,62.63,8.26,38.37,0.06,0.21,27.44,4.09,0.7,94.29,4.19,22.97,67.13,0.85,2.31,0.0,13.98,11.45,47.19,2.91,4.15,3.59,0.0,3.78,159.39,8.43,65.42,63.0,2024-02-06 11:00:00
12~13,5.56,59.93,7.89,35.79,0.07,0.29,27.22,3.82,0.65,95.94,3.75,23.77,68.42,0.93,2.04,0.0,16.39,13.62,32.06,2.87,3.78,3.78,0.0,1.67,158.16,7.19,65.01,63.43,2024-02-06 12:00:00
13~14,4.69,60.56,8.57,37.35,0.07,0.09,26.72,3.84,0.67,94.29,4.12,23.29,66.88,1.07,2.01,0.0,14.11,11.76,16.7,2.91,3.53,4.22,0.0,1.39,159.36,6.4,64.95,65.44,2024-02-06 13:00:00
14~15,6.5,62.88,8.82,38.21,0.06,0.03,27.72,3.47,0.66,98.74,5.69,25.31,67.74,0.96,2.3,0.0,15.62,13.43,32.05,2.84,4.58,4.35,0.0,2.18,163.84,7.38,65.54,68.43,2024-02-06 14:00:00
15~16,5.0,61.9,8.68,37.01,0.07,0.08,27.49,3.35,0.7,98.54,4.9,25.88,67.76,1.11,2.41,0.03,14.69,12.88,40.57,2.66,4.46,4.16,0.0,5.93,163.34,7.19,67.24,66.13,2024-02-06 15:00:00
16~17,5.25,61.44,8.47,36.81,0.06,0.0,25.57,4.18,0.76,100.79,4.38,26.68,69.73,0.85,2.31,0.16,13.23,14.33,14.92,2.56,3.97,3.9,0.25,2.43,159.73,6.43,67.03,64.13,2024-02-06 16:00:00
17~18,6.13,57.56,8.33,34.67,0.26,0.1,26.31,4.6,1.62,93.87,3.57,25.85,64.45,0.88,2.27,0.16,15.81,14.76,20.52,2.5,3.71,3.35,4.48,1.14,150.68,5.07,63.93,60.18,2024-02-06 17:00:00
18~19,6.87,55.85,6.29,32.26,0.33,0.12,23.87,3.84,1.72,89.34,3.56,24.35,61.43,0.99,1.81,0.17,16.56,15.0,49.52,2.44,3.59,3.37,4.46,1.30,143.42,3.4,60.28,59.13,2024-02-06 18:00:00
19~20,7.44,52.03,5.15,30.97,0.32,0.12,22.32,3.87,1.68,87.92,3.53,21.91,62.48,1.06,1.65,0.16,19.45,16.55,42.2,2.5,3.27,2.91,4.43,1.00,137.78,2.54,58.6,55.88,2024-02-06 19:00:00
20~21,6.87,50.57,5.29,28.92,0.33,0.12,18.31,4.54,1.69,82.26,3.31,20.91,58.04,1.14,1.51,0.16,20.89,17.05,25.21,2.31,3.03,3.03,4.42,0.91,132.20,2.96,57.41,51.62,2024-02-06 20:00:00
21~22,6.94,51.09,5.28,27.52,0.33,0.12,13.01,4.02,1.66,80.96,3.54,21.03,56.39,1.05,1.58,0.16,20.2,19.18,29.82,2.28,2.96,2.97,4.41,0.93,129.01,2.9,57.55,48.0,2024-02-06 21:00:00
22~23,7.38,49.97,5.42,26.22,0.33,0.12,8.81,4.16,1.7,78.03,2.65,20.81,54.57,0.98,1.54,0.17,21.23,22.45,56.05,2.25,3.02,2.84,4.39,1.11,129.70,3.41,58.14,48.06,2024-02-06 22:00:00
23~24,9.31,48.62,5.27,26.0,0.33,0.13,7.73,6.52,1.67,78.21,2.87,20.22,55.12,1.02,1.33,0.16,26.47,21.53,25.54,2.25,3.04,3.1,4.4,0.70,130.44,3.53,57.96,48.5,2024-02-06 23:00:00
0~1,10.12,47.94,5.25,25.08,0.33,0.14,7.84,4.5,1.68,75.19,2.66,19.31,53.22,1.04,1.44,0.16,22.77,19.24,22.69,2.32,3.03,2.56,4.4,1.09,129.11,2.94,57.65,48.31,2024-02-07 00:00:00
1~2,7.0,47.78,5.31,24.76,0.32,0.14,7.7,3.83,1.7,75.84,2.5,19.81,53.53,1.01,1.45,0.17,21.77,17.91,50.27,2.34,3.16,2.59,4.4,1.26,129.10,3.06,57.56,48.26,2024-02-07 01:00:00
2~3,6.88,47.12,5.17,24.67,0.33,0.14,7.85,3.09,1.69,76.6,2.44,20.26,53.9,1.01,1.39,0.17,17.33,17.24,75.31,2.28,3.09,2.63,4.41,0.95,129.11,2.63,57.99,48.31,2024-02-07 02:00:00
3~4,6.12,46.82,5.27,24.3,0.33,0.15,8.23,3.58,1.7,75.19,2.52,19.25,53.42,1.13,1.39,0.16,17.02,15.04,99.86,2.31,3.1,2.68,4.41,0.90,130.69,3.22,58.36,48.62,2024-02-07 03:00:00
4~5,5.88,46.69,5.35,24.35,0.33,0.06,9.72,3.5,1.7,76.96,2.38,19.93,54.65,1.01,1.43,0.17,14.9,15.16,40.1,2.28,3.03,2.31,4.39,0.64,129.88,2.69,58.52,48.13,2024-02-07 04:00:00
5~6,5.44,46.72,5.59,24.59,0.33,0.02,9.92,3.61,1.65,76.79,2.44,19.38,54.97,0.99,1.38,0.17,14.83,15.73,14.78,2.32,3.16,3.03,4.41,1.10,129.46,3.03,57.88,48.06,2024-02-07 05:00:00
6~7,4.62,45.93,5.48,24.71,0.27,0.02,8.71,2.45,1.22,77.0,2.37,20.07,54.56,0.92,1.42,0.17,12.83,14.05,13.06,2.37,3.84,2.5,2.35,1.19,130.60,2.81,57.58,49.5,2024-02-07 06:00:00
7~8,4.19,46.91,5.54,24.67,0.07,0.0,10.4,2.47,0.69,76.24,2.35,20.03,53.86,1.56,1.41,0.16,13.38,13.87,34.58,2.35,3.78,2.26,0.0,2.12,131.75,3.47,57.2,50.25,2024-02-07 07:00:00
8~9,4.31,47.65,6.15,26.65,0.06,0.01,13.19,2.37,0.65,77.93,2.59,21.29,54.05,0.97,1.44,0.0,12.43,17.83,46.57,2.4,3.66,2.71,0.0,1.71,132.98,3.4,58.41,49.94,2024-02-07 08:00:00
9~10,4.5,52.41,5.97,27.85,0.06,0.0,15.5,2.44,0.66,82.49,2.79,21.5,58.2,0.9,1.42,0.0,12.5,11.93,21.88,2.38,3.59,3.41,0.0,1.18,133.70,3.63,59.92,48.62,2024-02-07 09:00:00
10~11,4.44,54.4,6.2,29.79,0.07,0.02,17.56,3.22,0.65,86.75,3.4,21.84,61.51,1.15,1.56,0.0,16.06,12.13,16.5,2.56,3.46,2.88,0.0,1.35,135.18,4.06,60.31,49.13,2024-02-07 10:00:00
11~12,6.25,56.82,7.14,30.31,0.06,0.0,18.52,3.39,1.04,89.98,3.44,22.84,63.7,1.13,2.39,0.0,13.05,13.39,20.53,2.66,3.39,2.93,0.0,1.32,140.27,4.38,62.18,52.19,2024-02-07 11:00:00
12~13,6.12,54.28,7.56,30.17,0.07,0.0,18.06,3.35,1.67,89.52,3.62,24.6,61.3,1.06,2.23,0.0,12.24,23.38,45.75,2.62,3.6,3.07,0.0,1.22,139.36,3.56,61.28,52.68,2024-02-07 12:00:00
13~14,7.5,54.53,7.62,30.29,0.06,0.0,18.33,3.42,1.66,89.2,2.81,25.09,61.3,0.84,1.52,0.0,12.38,13.19,25.06,2.53,3.71,3.72,0.0,5.53,138.44,3.72,61.54,51.88,2024-02-07 13:00:00
14~15,6.07,54.25,8.11,31.19,0.07,0.09,19.15,3.25,1.67,90.96,2.88,25.33,62.75,1.23,1.44,0.1,12.67,12.57,13.26,2.63,3.91,3.46,0.0,1.80,137.10,4.19,61.69,49.68,2024-02-07 14:00:00
15~16,5.12,55.18,7.58,31.51,0.06,0.07,17.48,3.93,1.66,93.9,3.1,24.78,66.02,0.85,2.07,0.17,11.87,12.06,25.93,2.56,3.83,3.38,0.0,1.18,134.23,4.4,61.05,47.88,2024-02-07 15:00:00
16~17,9.44,54.32,7.68,33.36,0.06,0.03,16.52,3.82,1.76,93.41,2.71,23.76,66.94,1.2,2.1,0.17,12.13,12.19,45.91,2.75,3.9,3.47,0.43,0.70,131.21,4.0,59.54,46.68,2024-02-07 16:00:00
